OBJECTID,NAME,BOUNDARY.City_Boundary.AREA,PERIMETER,HECTARES,SHAPE.AREA,SHAPE.LEN,ADDRESS,POSTCODE,TYPE,CAPACITY,DISABLED,OPENING,PAYMENT,CONTACT,OPERATOR,WEBSITE,COMETSCN,LIVE_DATA,EASTING,NORTHING,LAT,LONG,BODY,BODY_NAME,CREATE_DAT
1,Denman Street Car Park,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Denman Street Central, Nottingham",NG7 3PS,Surface,43,Unknown,24 Hours/7 Days,Free,NCC Parking Services (0115 876 1444),Nottingham City Council,https://www.nottinghamcity.gov.uk/information-for-residents/transport-parking-and-streets/parking-and-permits,,NO,455515.00000000186,340338.00000000186,52.95757044509543,-1.1750515543348405,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,Winchester Street Car Park,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Winchester Street, Nottingham",NG5 4AJ,Surface,58,3,24 Hours/7 Days,Free,NCC Parking Services (0115 876 1444),Nottingham City Council,https://www.nottinghamcity.gov.uk/information-for-residents/transport-parking-and-streets/parking-and-permits,,NO,457540.00000000093,343080,52.98200274606403,-1.1444251563904804,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,Garfield Road Car Park,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Garfield Road, Nottingham",NG7 3BJ,Surface,19,0,24 Hours/7 Days,Free,NCC Parking Services (0115 876 1444),Nottingham City Council,https://www.nottinghamcity.gov.uk/information-for-residents/transport-parking-and-streets/parking-and-permits,,NO,455472.00000000186,340624,52.960145453443914,-1.1756426953394163,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,Sneinton Market Square,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Aberdeen Street, Nottingham",NG3 1JB,Surface,50,2,24 Hours/7 Days,Pay and Display,NCC Parking Services (0115 876 1444),Nottingham City Council,https://www.nottinghamcity.gov.uk/information-for-residents/transport-parking-and-streets/parking-and-permits,,NO,458100.00000000186,340094.99999999814,52.95511305377756,-1.1366200271683495,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,Nottingham Castle Car Park,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Canal Street, Nottingham",NG1 7HG,Surface,55,0,24 Hours/7 Days,Pay and Display,NCC Parking Services (0115 876 1444),Nottingham City Council,https://www.nottinghamcity.gov.uk/information-for-residents/transport-parking-and-streets/parking-and-permits,,NO,457284.00000000186,339390,52.948863888811694,-1.1488892233023211,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,Duke Street East Car Park,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Duke Street, Bulwell, Nottingham",NG6 8EZ,Surface,55,0,24 Hours/7 Days,Free,NCC Parking Services (0115 876 1444),Nottingham City Council,https://www.nottinghamcity.gov.uk/information-for-residents/transport-parking-and-streets/parking-and-permits,,NO,453997,345300.00000000186,53.002324186712116,-1.196819578963986,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,Wilkinson Street Park & Ride,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Armstrong Way, Nottingham",NG7 7NU,Park and ride,590,27,Tram times,Free,NET (0115 942 7777),Nottingham Express Transit,http://www.thetram.net/park-and-ride,12233071,YES,455287.99000000115,342033.79000000097,52.97283560230475,-1.1781414251691404,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,Green Mills Car Park,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Car Park Greens Mill,Windmill Lane,Nottingham",,Surface,Unknown,No,24 Hours/7 Days,Pay and Display,NCC Parking Services (0115 876 1444),Nottingham City Council,https://www.nottinghamcity.gov.uk/information-for-residents/transport-parking-and-streets/parking-and-permits,,NO,458482.00000000186,339758,52.9520426106365,-1.1309951770799247,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,Curzon Street Car Park,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Liberty Point One, Curzon Street, Nottingham",NG3 1DG,Underground,106,8,7am - 10pm/7 days,Pay and Display,NCC Parking Services (0115 876 1444),Nottingham City Council,https://www.nottinghamcity.gov.uk/information-for-residents/transport-parking-and-streets/parking-and-permits,,NO,457692.00000000186,340415,52.95803321982409,-1.1426356881063386,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,St James's Street Car Park,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"St James's Street, Nottingham",NG1 6EY,Multi-Storey,475,4,24 Hours/7 Days,Pay on foot,NCP (0345 050 7080),NCP,https://www.ncp.co.uk/find-a-car-park/car-parks/nottingham-st-james-street/,12420507,YES,456952.20000000205,339711.40000000224,52.95178799635979,-1.1537705137312582,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,Moor Bridge Park & Ride,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Hucknall Lane, Nottingham",NG6 8AE,Park and ride,119,6,Tram times,Free,NET (0115 942 7777),Nottingham Express Transit,http://www.thetram.net/park-and-ride,12233072,YES,454610,346659.99999999814,53.014486066660005,-1.187456232819576,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,Temporary Car Park London Road,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Temporary Car Park London Road,Canal Street,Nottingham",,Surface,,,,,,,,,NO,457794.00000000093,339564.00000000186,52.95037328508521,-1.1412687980716514,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,SIP Avalon Court Car Park,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Car Park, Avalon Court, Kent Street, Nottingham",,Underground,Unknown,Unkown,7am - 10:30pm/7 Days,Pay and Display,SIP 0333 999 7575,SIP,https://www.sipcarparks.com/,,NO,457520.00000000093,340212,52.95622703947077,-1.14523176009779,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
1,Clifton Grove Car Park,,59228.281741,7464.77503858,74641635.8780815,59095.7670509855,"Car Park,Holgate,Nottingham",,Surface,8,No,24 Hours/7 Days,Free,NCC Parking Services (0115 876 1444),Nottingham City Council,https://www.nottinghamcity.gov.uk/information-for-residents/transport-parking-and-streets/parking-and-permits,,NO,454190,334890,52.90873636060349,-1.195680509723207,http://data.ordnancesurvey.co.uk/doc/7000000000038857,Nottingham City Council,20230810
